timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
10729701,-0.00200355,0.00166561,0.00322186,4000,0,0.443592,-0.00250103,-9.70564,4000
10733701,3.54545e-05,0.00302475,0.00110803,4000,0,0.436385,0.0245795,-9.75146,4000
10737701,0.00261474,-0.00145026,0.000445377,4000,0,0.418656,0.0384653,-9.76361,4000
10741701,0.00378014,-0.000804949,0.000878836,4000,0,0.441367,-0.0144025,-9.74702,4000
10745701,0.00237381,0.00121725,0.00201204,4000,0,0.428261,0.0149591,-9.74288,4000
10749701,0.000705637,-0.000395379,-2.35767e-05,4000,0,0.420226,0.0453331,-9.74749,4000
10753701,0.00369727,-0.0011394,-0.000814508,4000,0,0.430233,0.0148527,-9.73023,4000
10757701,0.00197303,0.00323396,0.000601573,4000,0,0.430024,0.0255529,-9.72713,4000
10761702,0.00178337,0.00108197,-0.00118828,4001,0,0.398722,0.0596136,-9.74314,4001
10765701,0.00455032,-0.000289848,-0.000602695,3999,0,0.410781,0.00608742,-9.74433,3999
10769701,0.00390014,0.00344069,-0.000222349,4000,0,0.435594,0.0108161,-9.71544,4000
10773701,0.00048514,0.00119505,0.000812301,4000,0,0.424789,0.0490215,-9.74721,4000
10777703,0.000370098,-5.46553e-05,0.000929838,4002,0,0.410487,0.00115802,-9.72378,4002
10781701,-0.000569827,0.00377051,-0.000185433,3998,0,0.446035,-0.010186,-9.70737,3998
10785701,-0.000378344,0.00217235,0.00111054,4000,0,0.448364,0.040707,-9.74179,4000
10789702,0.000624443,0.00130563,-0.00141992,4001,0,0.421349,0.0162915,-9.77375,4001
10793702,0.000381479,0.00366368,0.000258504,4000,0,0.440002,-0.0146374,-9.71653,4000
10797701,0.00368969,0.00193886,-0.000743703,3999,0,0.423703,0.0417004,-9.69413,3999
10801701,0.00125436,0.000765579,-0.00119172,4000,0,0.410346,0.0327009,-9.71982,4000
10805701,-3.7643e-05,0.00312737,3.77309e-05,4000,0,0.426582,-0.0122252,-9.71581,4000
10810501,0.00116853,0.00160404,0.0014973,4800,0,0.428744,0.0132463,-9.70205,4800
10814501,0.0028519,-0.000860316,-0.00243414,4000,0,0.416758,0.0459413,-9.71771,4000
10818503,0.00337901,0.000777262,-0.000525174,4002,0,0.424566,0.0389539,-9.70675,4002
10822501,0.00441696,0.00217415,0.000647301,3998,0,0.437205,0.00922812,-9.69542,3998
10826501,0.00100394,0.00184961,0.00145254,4000,0,0.414233,0.0384139,-9.73228,4000
